test,PK-1142,BAPPA,BAPPY BHAI-5,HUMIDIFIER,9,9.05,740,6697
test,PK-1143,BAPPA,BAPPY BHAI-6,HUMIDIFIER,9,9,740,6660
test,PK-1144,BAPPA,BAPPY BHAI-7,HUMIDIFIER,9,9,740,6660
test,PK-1145,BAPPA,BAPPY BHAI-8,HUMIDIFIER,9,9.05,740,6697
test,PK-1146,BAPPA,BAPPY BHAI-9,HUMIDIFIER,9,9.05,740,6697
test,PK-1147,BAPPA,BAPPY BHAI-10,HUMIDIFIER,9,9,740,6660
test,PK-1148,AS-ASHUK,MA-426,SPARE PARTS ,31.5,31.5,725,22837.5
test,PK-1149,ALI-OFFICE,ALI/TACHI SUPER,HANGING LIGHT,14.5,14.5,780,11310
test,PK-1150,SHUVO PAUL,SHUVO PAUL,SHOES,12,12,800,9600
test,PK-1152,MISSION,MISSION/RAKIB,PUMP,12,12.1,740,8954
test,PK-1153,BM,BM/DAS,MAN T SHIRT,49.5,49.7,950,47215
test,PK-1153B,BM,BM/DAS BY AIR,GIRL T SHIRT,37.5,37.6,900,33840
test,PK-1154,KHAIRUL ISLAM,MK/BD,TURBINE ENGINE,13,12.7,730,9271
test,PK-1155,KHAIRUL ISLAM,MK/BD,TURBINE ENGINE,13,12.3,730,8979
test,PK-1156,KHAIRUL ISLAM,MK/BD,TURBINE ENGINE,13,12.95,730,9453.5
test,PK-1157,AS-ASHUK,MA-182 ,BELT,9.2,9.4,725,6815
test,PK-1158,SHOHEB,PRODIP/SHOYEB,TRIOED,20.5,20.2,750,15150
test,PK-1159,SHOHEB,PRODIP/SHOYEB,TRIOED,21.5,20.8,750,15600
test,PK-1160,TG,Nomark,CONTROLER,19,19.1,750,14325
test,PK-1161,TG,Nomark,CONTROLER,20,20.1,750,15075
test,PK-1162,SHOHEB,SHOYEB,SENSOR,18.5,18.6,750,13950
test,PK-1163,SHOHEB,Nomark,MOTOR PARTS,22.5,22.4,750,16800
test,PK-1164,SHOHEB,Nomark,MOTOR PARTS,20.5,20.8,750,15600
test,PK-1165,TG,TG/RAHAT,SPARE PARTS ,6,5.9,750,4425
test,PK-1166,NOKIB,NKB/RAJU MOHAMMAD,MOBILE CASE(COPY HELLO KITTY),25.4,27.2,800,21760
test,PK-1167,NOKIB,NKB/RAJU MOHAMMAD,MOBILE CASE(COPY HELLO KITTY),26.23,27.45,800,21960
test,PK-1168,NOKIB,NKB/RAJU MOHAMMAD,MOBILE CASE(COPY HELLO KITTY),26.25,27.75,800,22200
test,PK-1169,NOKIB,NKB/RAJU MOHAMMAD,MOBILE CASE(COPY HELLO KITTY),27,19.9,800,15920
test,PK-1170,NOKIB,NKB/RAJU MOHAMMAD,MOBILE CASE(COPY HELLO KITTY),19.5,27.25,800,21800
test,PK-1171,AS-ASHUK,MA-646,VALVE POSITIONER,22.5,22.4,725,16240
test,PK-1172,AS-ASHUK,MA-646,VALVE POSITIONER,23,22.7,725,16457.5
